,PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
0,1,0,-0.5610649643650664,1,0,-0.5021631365156053,1,0,0,0,1,0,1,0,0,1
1,2,1,0.6128265650985096,1,0,0.7864036178345383,0,1,1,0,0,1,0,1,0,0
2,3,1,-0.2675920819991724,0,0,-0.48857985158126105,1,0,0,0,1,1,0,0,0,1
3,4,1,0.3927219033240891,1,0,0.4204940697654092,0,1,0,0,1,1,0,1,0,0
4,5,0,0.3927219033240891,0,0,-0.48606442844527137,1,0,0,0,1,0,1,0,0,1
5,6,0,-0.4261442853720312,0,0,-0.4778480503138746,1,0,0,1,0,0,1,0,0,1
6,7,0,1.7867180945620855,0,0,0.3955913807191113,0,1,0,0,1,0,1,1,0,0
7,8,0,-2.0284293761945364,3,1,-0.22395733767514675,1,0,0,0,1,0,1,0,0,1
8,9,1,-0.19422386140769887,0,2,-0.42401799520369554,1,0,0,0,1,1,0,0,0,1
9,10,1,-1.1480107290968544,1,0,-0.04293139010125909,1,0,1,0,0,1,0,0,1,0
10,11,1,-1.8816929350115894,1,1,-0.3119971474347855,0,1,0,0,1,1,0,0,0,1
11,12,1,2.0801909769279794,0,0,-0.11378180431879875,0,1,0,0,1,1,0,1,0,0
12,13,0,-0.7078014055480134,0,0,-0.48606442844527137,1,0,0,0,1,0,1,0,0,1
13,14,0,0.686194785689983,1,5,-0.01869880977838891,1,0,0,0,1,0,1,0,0,1
14,15,0,-1.1480107290968544,0,0,-0.4900045872454856,1,0,0,0,1,1,0,0,0,1
15,16,1,1.8600863151535592,0,0,-0.32608351699632776,1,0,0,0,1,1,0,0,1,0
16,17,0,-2.0284293761945364,4,1,-0.061964087717411374,1,0,0,1,0,0,1,0,0,1
17,18,1,0.17749571831438604,0,0,-0.38645367226008004,1,0,0,0,1,0,1,0,1,0
18,19,0,0.09924902095819511,1,0,-0.28583674682049287,1,0,0,0,1,1,0,0,0,1
19,20,1,-0.00946763104897994,0,0,-0.5026662211428032,1,0,1,0,0,1,0,0,0,1
20,21,0,0.3927219033240891,0,0,-0.12484966611715337,1,0,0,0,1,0,1,0,1,0
21,22,1,0.3193536827326156,0,0,-0.38645367226008004,0,1,0,0,1,0,1,0,1,0
22,23,1,-1.0746425085053808,0,0,-0.48648299485510005,1,0,0,1,0,1,0,0,0,1
23,24,1,-0.12085564081622538,0,0,0.06632249221806229,0,1,0,0,1,0,1,1,0,0
24,25,0,-1.5882200526456953,3,1,-0.22395733767514675,1,0,0,0,1,1,0,0,0,1
25,26,1,0.6128265650985096,1,5,-0.016434928955998185,1,0,0,0,1,1,0,0,0,1
26,27,0,-0.00946763104897994,0,0,-0.5026662211428032,1,0,1,0,0,0,1,0,0,1
27,28,0,-0.7811696261394868,3,2,4.644392599719279,0,1,0,0,1,0,1,1,0,0
28,29,1,-0.5331767324090839,0,0,-0.4895015026182876,1,0,0,1,0,1,0,0,0,1
29,30,0,-0.12472903070018583,0,0,-0.4891674544258282,1,0,0,0,1,0,1,0,0,1
30,31,0,0.7595630062814566,0,0,-0.09022134505786503,1,0,1,0,0,0,1,1,0,0
31,32,1,0.47401742971808075,1,0,2.300436803386727,0,1,1,0,0,1,0,1,0,0
32,33,1,0.41442600575116434,0,0,-0.49210144397164657,1,0,0,1,0,1,0,0,0,1
33,34,0,2.667136741659768,0,0,-0.43676213497987365,1,0,0,0,1,0,1,0,1,0
34,35,0,-0.12085564081622538,1,0,1.0054969729792393,1,0,1,0,0,0,1,1,0,0
35,36,0,0.9062994474644036,1,0,0.39835834616870003,1,0,0,0,1,0,1,1,0,0
36,37,1,-0.4967718892162386,0,0,-0.502581702925434,1,0,1,0,0,0,1,0,0,1
37,38,0,-0.6344331849565399,0,0,-0.48606442844527137,1,0,0,0,1,0,1,0,0,1
38,39,0,-0.8545378467309603,2,0,-0.28583674682049287,1,0,0,0,1,1,0,0,0,1
39,40,1,-1.1480107290968544,1,0,-0.4218366202601652,1,0,1,0,0,1,0,0,0,1
40,41,0,0.7595630062814566,1,0,-0.457388604694989,1,0,0,0,1,1,0,0,0,1
41,42,0,-0.19422386140769887,1,0,-0.22546659155674054,1,0,0,0,1,1,0,0,1,0
42,43,0,-0.12472903070018583,0,0,-0.4891674544258282,1,0,1,0,0,0,1,0,0,1
43,44,1,-1.9550611556030628,1,2,0.18865657484452997,1,0,1,0,0,1,0,0,1,0
44,45,1,-0.7811696261394868,0,0,-0.4895015026182876,1,0,0,1,0,1,0,0,0,1
45,46,0,0.07765871838555102,0,0,-0.48606442844527137,1,0,0,0,1,0,1,0,0,1
46,47,0,0.25544888801239435,1,0,-0.3361452095402864,1,0,0,1,0,0,1,0,0,1
47,48,1,0.41442600575116434,0,0,-0.49210144397164657,1,0,0,1,0,1,0,0,0,1
48,49,0,-0.453970595571369,2,0,-0.211798788405027,1,0,1,0,0,0,1,0,0,1
49,50,0,-0.8545378467309603,1,0,-0.28986142383807634,1,0,0,0,1,1,0,0,0,1
50,51,0,-1.661588273237169,4,1,0.15058916727371655,1,0,0,0,1,0,1,0,0,1
51,52,0,-0.6344331849565399,0,0,-0.49109527471725073,1,0,0,0,1,0,1,0,0,1
52,53,1,1.419876991604718,1,0,0.895993560684828,0,1,1,0,0,1,0,1,0,0
53,54,1,-0.047487420224751886,1,0,-0.12484966611715337,1,0,0,0,1,1,0,0,1,0
54,55,0,2.593768521068294,0,1,0.5991736306380456,0,1,1,0,0,0,1,1,0,0
55,56,1,1.0577923765912305,0,0,0.06632249221806229,0,1,0,0,1,0,1,1,0,0
56,57,1,-0.6344331849565399,0,0,-0.43676213497987365,1,0,0,0,1,1,0,0,1,0
57,58,0,-0.08417153052048863,0,0,-0.502581702925434,1,0,1,0,0,0,1,0,0,1
58,59,1,-1.8083247144201158,1,2,-0.08963374221329785,1,0,0,0,1,1,0,0,1,0
59,60,0,-1.3681153908712749,5,2,0.29572908222032107,1,0,0,0,1,0,1,0,0,1
60,61,0,-0.5610649643650664,0,0,-0.502581702925434,1,0,1,0,0,0,1,0,0,1
61,62,1,0.6128265650985096,0,0,0.9618131286303883,0,1,0,0,0,1,0,1,0,0
62,63,0,1.1264041092388242,1,0,1.0317418918109011,0,1,0,0,1,0,1,1,0,0
63,64,0,-1.8816929350115894,3,2,-0.08661523445011025,1,0,0,0,1,0,1,0,0,1
64,65,0,0.8476113624381322,0,0,-0.09022134505786503,1,0,1,0,0,0,1,1,0,0
65,66,1,-0.9205754116875409,1,1,-0.34126057402963506,1,0,1,0,0,0,1,0,0,1
66,67,1,-0.047487420224751886,0,0,-0.43676213497987365,0,1,0,0,1,1,0,0,1,0
67,68,0,-0.7811696261394868,0,0,-0.4838850658402499,1,0,0,0,1,0,1,0,0,1
68,69,1,-0.9279060673224339,4,2,-0.48857985158126105,1,0,0,0,1,1,0,0,0,1
69,70,0,-0.2675920819991724,2,0,-0.4737388550789219,1,0,0,0,1,0,1,0,0,1
70,71,0,0.17261724154966862,0,0,-0.43676213497987365,1,0,0,0,1,0,1,0,1,0
71,72,0,-1.0012742879139074,5,2,0.29572908222032107,1,0,0,0,1,1,0,0,0,1
72,73,0,-0.6344331849565399,0,0,0.8310111255589249,1,0,0,0,1,0,1,0,1,0
73,74,0,-0.2675920819991724,1,0,-0.3571902456652305,1,0,1,0,0,0,1,0,0,1
74,75,1,0.17261724154966862,0,0,0.48882906084695926,1,0,0,0,1,0,1,0,0,1
75,76,0,-0.34096030259064586,0,0,-0.49411378248043836,0,1,0,0,1,0,1,0,0,1
76,77,0,-0.12472903070018583,0,0,-0.4891674544258282,1,0,0,0,1,0,1,0,0,1
77,78,0,0.07765871838555102,0,0,-0.48606442844527137,1,0,0,0,1,0,1,0,0,1
78,79,1,-2.1142701942865605,0,2,-0.06447951085340105,1,0,0,0,1,0,1,0,1,0
79,80,1,0.025880800366721614,0,0,-0.39701844943123665,1,0,0,0,1,1,0,0,0,1
80,81,0,-0.5610649643650664,0,0,-0.4669472126117498,1,0,0,0,1,0,1,0,0,1
81,82,1,-0.047487420224751886,0,0,-0.4568855200677911,1,0,0,0,1,0,1,0,0,1
82,83,1,-0.46402614635913547,0,0,-0.49134681703084965,1,0,0,1,0,1,0,0,0,1
83,84,0,-0.12085564081622538,0,0,0.2997537592379046,1,0,0,0,1,0,1,1,0,0
